round,client_id,source
1,2641285744709248901,strategy
1,-254778862473103105,strategy
1,-7830550697571516130,strategy
1,2277463216277452806,strategy
1,-6972055089421319862,strategy
1,-3700124685688122738,strategy
1,4436484112822309905,strategy
1,1610054056146548488,strategy
1,-4176790549541542511,strategy
1,-1944971143436108609,strategy
1,1784424753735810035,strategy
1,221843750984681429,strategy
1,-5570843267962287178,strategy
1,7521430690109450659,strategy
1,-4349207951690442843,strategy
1,-4702236644493969732,strategy
1,-6308279416279294515,strategy
1,-22438519665442474,strategy
1,-6859770135987254826,strategy
1,-1684450321766920004,strategy
1,-2289174308002918165,strategy
1,5447836373618481693,strategy
1,-374323217850480065,strategy
1,1628681023847519480,strategy
1,-4658317758820936584,strategy
1,8286279148483510405,strategy
1,-7674406608094568525,strategy
1,2864263478686457614,strategy
1,-2109539744156487254,strategy
1,2836960468804450080,strategy
1,-2560792046708267093,strategy
1,1842440875869250679,strategy
1,4042378240791026222,strategy
1,-2991727167295995177,strategy
1,-5686105283516281674,strategy
1,5981470507853437564,strategy
1,-8009220404035197356,strategy
1,-5086680533827752815,strategy
1,-1020544883411120232,strategy
